0.5	0.551155	nan
0.6	0.458746	nan
0.7	0.382838	nan
0.8	0.174917	nan
0.9	0.0891089	nan
1	0.0231023	nan
1.1	0.155116	nan
1.2	0.108911	nan
1.3	0.108911	nan
1.4	0.273927	nan
1.5	0.30033	nan
1.6	0.287129	nan
1.7	0.405941	nan
1.8	0.438944	nan
1.9	0.577558	nan
2	0.590759	nan
2.1	0.511551	nan
2.2	0.551155	nan
2.3	0.590759	nan
2.4	0.60396	nan
2.5	0.663366	nan
2.6	0.716172	nan
2.7	0.722772	nan
2.8	0.716172	nan
2.9	0.676568	nan
3	0.749175	nan
3.1	0.729373	nan
3.2	0.689769	nan
3.3	0.755776	nan
3.4	0.808581	nan
3.5	0.80198	nan
3.6	0.782178	nan
3.7	0.788779	nan
3.8	0.782178	nan
3.9	0.729373	nan
4	0.80198	nan
4.1	0.762376	nan
4.2	0.815182	nan
4.3	0.755776	nan
4.4	0.815182	nan
4.5	0.79538	nan
4.6	0.79538	nan
4.7	0.782178	nan
4.8	0.834983	nan
4.9	0.821782	nan
5	0.79538	nan
5.1	0.79538	nan
5.2	0.815182	nan
5.3	0.808581	nan
5.4	0.775578	nan
5.5	0.821782	nan
